order|board_idx|title|thumb_url|detail_images|inferred_category
21|148|인천국제공항|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/148/2120541308_sum.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/148/2120541308_sum.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/148/14758300_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/148/1528587366_2.jpg|design
22|138|플레이보이|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/138/1048272738_video_thum18.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/138/1048272738_video_thum18.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/138/1516195609_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/138/1139428077_2.jpg|video
23|137|TED|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/137/1758641115_video_thum17.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/137/1758641115_video_thum17.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/137/851447448_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/137/2021778391_2.jpg|video
24|136|CUBEME|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/136/1252795166_video_thum16.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/136/1252795166_video_thum16.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/136/1899042239_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/136/1125365496_2.jpg|video
25|133|딩고|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/133/295077835_video_thum13.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/133/295077835_video_thum13.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/133/153867032_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/133/1223547740_2.jpg|video
26|132|애터미|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/132/1192885633_video_thum12.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/132/1192885633_video_thum12.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/132/1785252875_1.jpg|video
27|131|브이라이브|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/131/466866653_video_thum11.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/131/466866653_video_thum11.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/131/133192949_1.jpg|video
28|128|멜론|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/128/305852010_video_thum08.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/128/305852010_video_thum08.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/128/1620190831_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/128/1902693518_2.jpg|video
29|126|비비고|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/126/1971000291_video_thum06.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/126/1971000291_video_thum06.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/126/2107191743_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/126/605573133_2.jpg|video
30|125|설화수|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/125/581742924_video_thum05.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/125/581742924_video_thum05.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/125/85406123_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/125/2110023966_2.jpg|video
31|124|네이버 바이브|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/124/16681602_video_thum04.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/124/16681602_video_thum04.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/124/875055382_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/124/419039996_2.jpg|video
32|123|네이버 웹툰|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/123/532478342_video_thum03.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/123/532478342_video_thum03.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/123/121253179_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/123/1249534730_2.jpg|video
33|122|카카오페이지|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/122/1157898799_video_thum02.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/122/1157898799_video_thum02.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/122/1456860475_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/122/998354324_2.jpg|video
34|121|카카오프렌즈|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/121/352637293_video_thum01.gif|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/121/352637293_video_thum01.gif,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/121/1169063983_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/121/519501071_2.jpg|video
35|120|주간목장|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/120/928889623_KakaoTalk_20220422_111911692.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/120/928889623_KakaoTalk_20220422_111911692.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/120/1872159272_KakaoTalk_20220422_111911692_01.png|design
36|119|펫사랑|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/119/756725572_KakaoTalk_20220414_130522220_01.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/119/756725572_KakaoTalk_20220414_130522220_01.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/119/1121721622_KakaoTalk_20220414_130522220.jpg|design
37|117|펫츠앤|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/117/1408459233_KakaoTalk_20220317_173643778.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/117/1408459233_KakaoTalk_20220317_173643778.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/117/805216672_ECB59CECA285.jpg|design
38|116|그린에너지|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/116/444326675_KakaoTalk_20220318_113515120.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/116/444326675_KakaoTalk_20220318_113515120.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/116/1716984583_KakaoTalk_20220318_113515120_01.jpg|design
39|115|프로퍼컴퍼니|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/115/858429418_KakaoTalk_20220317_173635969.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/115/858429418_KakaoTalk_20220317_173635969.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/115/2008263878_KakaoTalk_20220317_173635969_01.jpg|design
40|114|Your Vegan|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/114/485636525_KakaoTalk_20220126_175918294.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/114/485636525_KakaoTalk_20220126_175918294.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/114/857067683_KakaoTalk_20220126_175918294_01.jpg|design
41|113|농가의아침|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/113/1930089095_KakaoTalk_20220118_095051640_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/113/1930089095_KakaoTalk_20220118_095051640_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/113/1415934570_KakaoTalk_20220118_095051640.png|design
42|112|모모티|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/112/8626501_EBAAA8EBAAA8ED8BB0.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/112/8626501_EBAAA8EBAAA8ED8BB0.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/112/1985687677_KakaoTalk_20220113_145819620.png|design
43|111|DCN바이오|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/111/1553316910_KakaoTalk_20220215_135448667_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/111/1553316910_KakaoTalk_20220215_135448667_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/111/374201269_KakaoTalk_20220215_135448667.png|design
44|110|클린하라|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/110/945863499_KakaoTalk_20220113_105722409_01.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/110/945863499_KakaoTalk_20220113_105722409_01.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/110/62670203_KakaoTalk_20220113_105722409.png|design
45|109|웰스|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/109/791663820_KakaoTalk_20220117_163715900.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/109/791663820_KakaoTalk_20220117_163715900.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/109/1396396568_ECB59CECA2853.jpg|design
46|108|베스트솔루션|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/108/2013017526_EBB2A0EC8AA4ED8AB8EC8694EBA3A8EC8598.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/108/2013017526_EBB2A0EC8AA4ED8AB8EC8694EBA3A8EC8598.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/108/174391149_KakaoTalk_20220113_145827007.png|design
47|107|루틴|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/107/1664456394_EBA3A8ED8BB4.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/107/1664456394_EBA3A8ED8BB4.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/107/597462123_KakaoTalk_20220113_174437213.png|design
48|106|대경에스코|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/106/798774877_2.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/106/798774877_2.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/106/89253666_1.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/106/1624736872_2.png|design
49|105|연세대학교|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/105/878223160_sum.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/105/878223160_sum.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/105/983697142_EC97B0EC84B8EB8C80ED9599EAB590.png|design
50|92|리안컴퍼니|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/92/1958631396_KakaoTalk_20220105_161104641.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/92/1958631396_KakaoTalk_20220105_161104641.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/92/1973166249_KakaoTalk_20220105_161104641_01.png|design
51|91|가디뷰이|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/91/946805304_KakaoTalk_20220106_101146661.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/91/946805304_KakaoTalk_20220106_101146661.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/91/1614750510_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/91/91718816_side.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/91/13367264_2.jpg|design
52|90|라프로렐|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/90/196753165_KakaoTalk_20220105_150024598.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/90/196753165_KakaoTalk_20220105_150024598.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/90/1790507498_KakaoTalk_20220105_150023272.png|design
53|89|Market M Bang|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/89/1371803491_EBA788ECBC93EC97A0EBB0A9.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/89/1371803491_EBA788ECBC93EC97A0EBB0A9.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/89/1423987658_KakaoTalk_20211220_154051846_01.png|design
54|88|피플인아트|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/88/2067287123_KakaoTalk_20211220_171618450.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/88/2067287123_KakaoTalk_20211220_171618450.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/88/1726996387_KakaoTalk_20211220_171618450_01.png|design
55|98|바램펫|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/98/104055273_KakaoTalk_20211216_165234283_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/98/104055273_KakaoTalk_20211216_165234283_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/98/447630289_1.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/98/408326411_2.jpg|design
56|87|신선닭갈비|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/87/752296663_KakaoTalk_20211216_170948120.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/87/752296663_KakaoTalk_20211216_170948120.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/87/418079535_KakaoTalk_20211216_170948120_01.png|design
57|97|꿀빠는시간|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/97/1055794613_KakaoTalk_20211213_143639659_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/97/1055794613_KakaoTalk_20211213_143639659_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/97/612361678_KakaoTalk_20211213_143639659.png|design
58|96|시간을들이다|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/96/1334529274_KakaoTalk_20211213_114635653_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/96/1334529274_KakaoTalk_20211213_114635653_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/96/1331777861_KakaoTalk_20211213_114635653.png|design
59|95|AI인사이트|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/95/1259828021_KakaoTalk_20211213_132839695_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/95/1259828021_KakaoTalk_20211213_132839695_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/95/1216149041_KakaoTalk_20220317_173618716.png|design
60|94|진해양봉|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/94/9277278_KakaoTalk_20211209_162206854.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/94/9277278_KakaoTalk_20211209_162206854.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/94/193014864_KakaoTalk_20211209_162952607.png|design
61|104|리빙안|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/104/1609275448_KakaoTalk_20211207_160658699.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/104/1609275448_KakaoTalk_20211207_160658699.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/104/2068127743_EBA6ACEBB999EC9588.png|design
62|93|벨라도르|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/93/1353488556_KakaoTalk_20211207_172729601_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/93/1353488556_KakaoTalk_20211207_172729601_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/93/145101798_KakaoTalk_20211207_172729601.png|design
63|103|(주)나무감정평가법인 경기지사|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/103/80735794_KakaoTalk_20211201_150112543.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/103/80735794_KakaoTalk_20211201_150112543.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/103/1206120693_p1.png|design
64|102|NST바이오|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/102/1744608324_KakaoTalk_20211130_153903451_01.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/102/1744608324_KakaoTalk_20211130_153903451_01.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/102/1284476982_KakaoTalk_20211202_102040658.png|design
65|101|THELSTAR|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/101/318446999_KakaoTalk_20211130_153903451.jpg|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/101/318446999_KakaoTalk_20211130_153903451.jpg,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/101/1170218026_0.png|design
66|100|육대장|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/100/1390286663_KakaoTalk_20211130_154901026_02.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/100/1390286663_KakaoTalk_20211130_154901026_02.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/100/1019896476_KakaoTalk_20211202_102040658.png|design
67|99|MOMENTO|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/99/1247341156_KakaoTalk_20211221_131729086_01.png|https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/99/1247341156_KakaoTalk_20211221_131729086_01.png,https://vdirectors.com/bizdemo119798/component/board/board_7/u_image/99/754700729_0123.png|design
